Date,AMZN
3/12/2015,666.25
4/12/2015,672.64
7/12/2015,669.83
8/12/2015,677.33
9/12/2015,664.79
10/12/2015,662.32
11/12/2015,640.15
14/12/2015,657.91
15/12/2015,658.64
16/12/2015,675.77
17/12/2015,670.65
18/12/2015,664.14
21/12/2015,664.51
22/12/2015,663.15
23/12/2015,663.7
24/12/2015,662.79
28/12/2015,675.2
29/12/2015,693.97
30/12/2015,689.07
31/12/2015,675.89
4/01/2016,636.99
5/01/2016,633.79
6/01/2016,632.65
7/01/2016,607.94
8/01/2016,607.05
11/01/2016,617.74
12/01/2016,617.89
13/01/2016,581.81
14/01/2016,593
15/01/2016,570.18
19/01/2016,574.48
20/01/2016,571.77
21/01/2016,575.02
22/01/2016,596.38
25/01/2016,596.53
26/01/2016,601.25
27/01/2016,583.35
28/01/2016,635.35
29/01/2016,587
1/02/2016,574.81
2/02/2016,552.1
3/02/2016,531.07
4/02/2016,536.26
5/02/2016,502.13
8/02/2016,488.1
9/02/2016,482.07
10/02/2016,490.48
11/02/2016,503.82
12/02/2016,507.08
16/02/2016,521.1
17/02/2016,534.1
18/02/2016,525
19/02/2016,534.9
22/02/2016,559.5
23/02/2016,552.94
24/02/2016,554.04
25/02/2016,555.15
26/02/2016,555.23
29/02/2016,552.52
1/03/2016,579.04
2/03/2016,580.21
3/03/2016,577.49
4/03/2016,575.14
7/03/2016,562.8
8/03/2016,560.26
9/03/2016,559.47
10/03/2016,558.93
11/03/2016,569.61
14/03/2016,573.37
15/03/2016,577.02
16/03/2016,574.27
17/03/2016,559.44
18/03/2016,552.08
21/03/2016,553.98
22/03/2016,560.48
23/03/2016,569.63
24/03/2016,582.95
28/03/2016,579.87
29/03/2016,593.86
30/03/2016,598.69
31/03/2016,593.64
1/04/2016,598.5
4/04/2016,593.19
5/04/2016,586.14
6/04/2016,602.08
7/04/2016,591.43
8/04/2016,594.6
11/04/2016,595.93
12/04/2016,603.17
13/04/2016,614.82
14/04/2016,620.75
15/04/2016,625.89
18/04/2016,635.35
19/04/2016,627.9
20/04/2016,632.99
21/04/2016,631
22/04/2016,620.5
25/04/2016,626.2
26/04/2016,616.88
27/04/2016,606.57
28/04/2016,602
29/04/2016,659.59
2/05/2016,683.85
3/05/2016,671.32
4/05/2016,670.9
5/05/2016,659.09
6/05/2016,673.95
9/05/2016,679.75
10/05/2016,703.07
11/05/2016,713.23
12/05/2016,717.93
13/05/2016,709.92
16/05/2016,710.66
17/05/2016,695.27
18/05/2016,697.45
19/05/2016,698.52
20/05/2016,702.8
23/05/2016,696.75
24/05/2016,704.2
25/05/2016,708.35
26/05/2016,714.91
27/05/2016,712.24
31/05/2016,722.79
1/06/2016,719.44
2/06/2016,728.24
3/06/2016,725.54
6/06/2016,726.73
7/06/2016,723.74
8/06/2016,726.64
9/06/2016,727.65
10/06/2016,717.91
13/06/2016,715.24
14/06/2016,719.3
15/06/2016,714.26
16/06/2016,717.51
17/06/2016,706.39
20/06/2016,714.01
21/06/2016,715.82
22/06/2016,710.6
23/06/2016,722.08
24/06/2016,698.96
27/06/2016,691.36
28/06/2016,707.95
29/06/2016,715.6
30/06/2016,715.62
1/07/2016,725.68
5/07/2016,728.1
6/07/2016,737.61
7/07/2016,736.57
8/07/2016,745.81
11/07/2016,753.78
12/07/2016,748.21
13/07/2016,742.63
14/07/2016,741.2
15/07/2016,735.44
18/07/2016,736.07
19/07/2016,739.95
20/07/2016,745.72
21/07/2016,744.43
22/07/2016,744.86
25/07/2016,739.61
26/07/2016,735.59
27/07/2016,736.67
28/07/2016,752.61
29/07/2016,758.81
1/08/2016,767.74
2/08/2016,760.58
3/08/2016,754.64
4/08/2016,760.77
5/08/2016,765.98
8/08/2016,766.56
9/08/2016,768.31
10/08/2016,768.56
11/08/2016,771.24
12/08/2016,772.56
15/08/2016,768.49
16/08/2016,764.04
17/08/2016,764.63
18/08/2016,764.46
19/08/2016,757.31
22/08/2016,759.48
23/08/2016,762.45
24/08/2016,757.25
25/08/2016,759.22
26/08/2016,769
29/08/2016,771.29
